suite_number,ship_date_kst,trans_date_utc_package,package_id,inner_package_id,profit_case,package_merchant,order_type,package_type,country_code,country_name,carrier,carrier_service,package_weight,dimension_weight,package_count,reference_type,goods_revenue_krw,goods_revenue_usd,warehouse_revenue_krw,warehouse_revenue_usd,shipping_revenue_krw,shipping_revenue_usd,profit_krw,profit_usd,storage_fee_usd,storage_fee_krw,request_photo_fee_usd,request_photo_fee_krw,repack_fee_usd,repack_fee_krw,bubble_wrap_fee_usd,bubble_wrap_fee_krw,vacuum_repack_fee_usd,vacuum_repack_fee_krw,plasticbox_fee_usd,plasticbox_fee_krw,remove_papertube_fee_usd,remove_papertube_fee_krw,inclusion_fee_usd,inclusion_fee_krw,bfm_extra_fee_usd,bfm_extra_fee_krw,receiving_fee_usd,receiving_fee_krw,package_extra_fee_usd,package_extra_fee_krw,shipping_fee_usd,shipping_fee_krw,customer_cost_krw,customer_cost_usd,original_cost_krw,original_cost_usd,fuel_surcharge_cost_krw,fuel_surcharge_cost_usd,marked_up_cost_krw,marked_up_cost_usd,origin_usd_krw_package,usd_krw_package
O0560,2026-02-11,2026-02-10,851992,0,1,VLAST SHOP,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,700,2160,1,ASN,0,0,0,0,18933,13.38,7197,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38,18933,18937,13.38,7290,5.15,4451,3.15,7197,5.09,1458.809889,1415.045592
I4793,2026-02-11,2026-02-10,828476,0,1,S.C.H.A.L.E Store,WE_SHIP,SINGLE,JP,Japan,UPS,WORLDWIDE_SAVER,600,1711,1,ASN,0,0,0,0,18693,13.21,7112,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,18693,18691,13.21,7190,5.08,4389,3.1,7112,5.03,1458.809889,1415.045592
R0962,2026-02-11,2026-02-11,853782,0,1,Pinkwonder,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,1200,1529,1,ASN,0,0,0,0,18489,13.08,7044,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,18489,18494,13.08,7110,5.03,4341,3.07,7044,4.98,1457.269896,1413.551799
G4492,2026-02-11,2026-02-10,849588,0,1,SwagKeys,WE_SHIP,SINGLE,AU,Australia,UPS,WORLDWIDE_SAVER,600,1037,1,ASN,0,0,0,0,21820,15.42,8192,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,21820,21818,15.42,8461,5.98,5165,3.65,8192,5.79,1458.809889,1415.045592
R3815,2026-02-11,2026-02-08,839818,0,1,Soundwave,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,7100,7424,1,ASN,0,0,0,0,34404,24.23,12540,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,34404,34406,24.23,13577,9.56,8289,5.84,12540,8.83,1463.803789,1419.889675
N2546,2026-02-11,2026-02-10,848835,0,1,Everline,WE_SHIP,SINGLE,AU,Australia,UPS,WORLDWIDE_SAVER,7600,7600,1,ASN,0,0,0,0,112043,79.18,39359,27.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.18,112043,112037,79.18,45128,31.89,27551,19.47,39359,27.81,1458.809889,1415.045592
J5356,2026-02-11,2026-02-10,800460,0,1,muvve,WE_SHIP,SINGLE,SG,Singapore,UPS,WORLDWIDE_SAVER,300,300,1,ASN,0,0,49527,35,17759,12.55,56315,39.8,5,7075,1.5,2123,0,0,0,0,0,0,0,0,0,0,28.5,40329,0,0,0,0,0,0,12.55,17759,17756,12.55,6810,4.81,4158,2.94,6789,4.8,1458.809889,1415.045592
Q8262,2026-02-11,2026-02-10,853755,0,1,Weverse ,WE_SHIP,SINGLE,CN,China,DHL_EXPRESS,WORLDWIDE_NON_DOC,600,1734,1,ASN,0,0,0,0,40017,28.28,6997,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.28,40017,40024,28.28,23324,16.48,9703,6.86,6997,4.94,1458.809889,1415.045592
A4624,2026-02-11,2026-02-10,851412,0,1,Hearts2hearts ,WE_SHIP,SINGLE,MX,Mexico,DHL_EXPRESS,WORLDWIDE_NON_DOC,7600,7600,1,ASN,0,0,0,0,179527,126.87,31386,22.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.87,179527,179526,126.87,104619,73.93,43522,30.76,31386,22.18,1458.809889,1415.045592
M7620,2026-02-11,2026-02-10,811812,0,1,KTOWN4U ,WE_SHIP,SINGLE,AE,United Arab Emirates : UAE,ARAMEX,EXPRESS,1800,2366,1,ASN,0,0,0,0,46767,33.05,11029,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.05,46767,46762,33.05,27300,19.29,8432,5.96,11029,7.79,1458.809889,1415.045592
